# Time,Mouse_x,Mouse_y,Mouse_x_dist,Mouse_y_dist,Target_x,Target_y
4.607000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.613000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.618000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.623000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.628000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.634000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.640000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.645000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.649000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.654000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.660000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.665000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.670000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.675000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.679000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.684000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.689000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.694000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.700000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.705000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.711000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.715000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.720000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.725000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.731000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.736000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.741000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.746000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.752000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.757000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.762000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.767000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.771000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.776000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.781000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.786000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.791000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.796000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.801000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.806000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.811000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.816000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.821000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.826000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.831000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.836000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.841000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
4.846000000000000000e+03,8.397386360737623363e+02,5.252007563196373212e+02,8.397386360737623363e+02,5.252007563196373212e+02,1.260000000000000000e+03,3.780000000000000000e+02
